RESPONSIBLE_DISTRICT,TX_SIGNED_HIGHWAY_RDBD_ID,TX_LENGTH_TOTAL,SEGMENT_COUNT,TX_CONDITION_SCORE,TX_DISTRESS_SCORE,TX_RIDE_SCORE,TX_AADT_CURRENT,TX_MAINTENANCE_COST_AMT
Houston,FM1774 R,13.44,31,97.86,98.66,4.04,6348.44,940.57
Houston,FM1876 L,80.03,203,86.93,97.55,3.08,7221.91,1201.02
Houston,FM1876 R,81.77,207,89.77,96.37,3.27,7216.41,1201.4
Houston,FM1942 K,0.78,12,53.06,95.06,2.41,19376.0,0.58
Houston,FM1959 K,3.91,10,66.61,100.0,2.58,28123.23,139.94
Houston,FM1959 L,0.82,2,73.5,100.0,2.74,14351.5,3573.0
Houston,FM1959 R,0.82,2,78.5,100.0,2.82,14351.5,3581.5
Houston,FM1960 A,16.34,48,59.14,93.56,2.51,16609.68,533.46
Houston,FM1960 K,329.83,712,81.97,87.13,3.33,41966.02,1481.21
Houston,FM1960 L,101.67,227,73.07,95.67,2.82,22768.74,469.66
Houston,FM1960 R,99.99,223,83.82,95.36,3.08,22677.7,470.33
Houston,FM1960 X,16.82,55,66.18,89.53,2.56,17214.17,549.56
Houston,FM2004 K,158.34,318,94.27,96.33,3.79,8454.83,547.51
Houston,FM2004 L,7.25,12,98.68,98.68,3.98,6512.55,349.9
Houston,FM2004 R,8.54,15,97.51,97.51,3.55,6799.27,392.95
Houston,FM2090 K,2.66,14,23.17,100.0,1.52,10793.88,306.74
Houston,FM2094 K,0.67,5,59.6,90.2,2.63,29863.8,83.6
Houston,FM2094 L,99.76,214,82.6,97.75,3.02,9763.79,929.94
Houston,FM2094 R,101.3,216,92.01,95.22,3.28,9752.76,915.68
Houston,FM2100 A,2.98,9,54.2,93.71,1.89,1327.18,308.55
Houston,FM2100 K,30.17,62,76.27,98.76,3.09,19952.69,586.26
Houston,FM2100 X,2.9,9,25.52,87.26,1.35,1416.69,299.39
Houston,FM2218 K,2.33,8,92.16,96.57,3.6,1072.53,0.19
Houston,FM2218 L,21.06,48,81.77,97.73,2.92,5390.93,394.8
Houston,FM2218 R,21.02,48,91.47,98.25,3.21,5388.36,395.48
Houston,FM2234 K,31.5,76,87.64,96.82,3.23,27634.99,379.37
Houston,FM2234 L,46.0,97,94.3,98.28,3.32,12731.08,170.39
Houston,FM2234 R,46.01,97,97.01,97.79,3.56,12732.48,170.44
Houston,FM2351 K,1.4,3,100.0,100.0,3.62,9978.57,0.0
Houston,FM2351 L,103.8,224,89.65,94.29,3.32,12837.68,1257.25
Houston,FM2351 R,103.54,222,86.21,97.16,3.1,12841.5,1259.91
Houston,FM2759 K,7.28,18,82.16,99.84,3.2,19052.14,3281.37
Houston,FM2759 L,2.34,4,74.46,100.0,2.75,10559.5,13.79
Houston,FM2759 R,3.53,8,71.72,100.0,2.7,10559.5,12.2
Houston,FM2854 K,7.49,16,90.59,90.59,3.85,11026.54,548.03
Houston,FM2920 K,4.55,18,88.75,98.64,3.37,42359.51,366.07
Houston,FM2978 K,18.63,56,88.13,91.05,3.48,20211.54,914.89
Houston,FM2978 L,9.53,29,89.7,99.16,3.32,10169.14,441.83
Houston,FM2978 R,9.53,29,83.5,99.0,3.22,10168.35,439.49
Houston,FM3083 K,0.32,1,100.0,100.0,4.2,20500.0,290.0
Houston,FM3345 L,22.76,48,82.28,92.1,3.04,11942.4,496.89
Houston,FM3345 R,22.75,48,92.28,96.7,3.2,11955.17,493.58
Houston,FS0525 K,4.65,15,66.01,96.83,2.64,17000.59,0.0
Houston,FS1464 K,0.12,5,5.2,100.0,0.22,15.4,0.0
Houston,IH0010 A,605.47,1264,72.15,89.01,2.83,17730.09,1728.8
Houston,IH0010 L,1430.96,3152,87.71,91.84,3.52,69610.37,2156.26
Houston,IH0010 R,1389.55,3072,88.88,91.79,3.57,70681.33,2177.41
Houston,IH0010 X,614.29,1329,75.61,87.23,3.03,17301.58,1787.93
Houston,IH0045 A,1028.2,2177,80.04,89.82,3.12,12114.73,1806.84
Houston,IH0045 L,1974.23,4170,84.74,90.15,3.56,76663.11,1773.79
Houston,IH0045 R,1921.97,4034,87.27,92.0,3.56,77844.9,1781.4
Houston,IH0045 X,1023.08,2168,83.11,92.21,3.14,12719.75,1714.45
Houston,IH0069 A,534.25,1070,71.81,90.09,2.84,15879.78,1055.6
Houston,IH0069 L,613.47,1228,91.48,94.53,3.66,65400.13,919.05
Houston,IH0069 R,612.72,1230,93.77,95.61,3.7,65304.01,895.41
Houston,IH0069 X,528.52,1057,67.4,87.06,2.79,13701.07,967.19
Houston,IH0610 A,633.5,1379,39.76,65.33,2.34,10386.3,2724.24
Houston,IH0610 L,1044.89,2469,79.34,84.78,3.34,83077.49,2436.07
Houston,IH0610 R,1039.73,2450,77.5,83.33,3.35,83025.8,2442.94
Houston,IH0610 X,633.09,1444,42.82,66.97,2.34,10783.55,2743.46
Houston,SH0003 K,88.31,190,84.09,97.28,3.05,12653.92,2377.92
Houston,SH0003 L,95.29,210,96.42,98.32,3.77,5287.27,1552.99
Houston,SH0003 R,94.76,209,93.12,94.82,3.66,5260.0,1512.51
Houston,SH0006 A,44.67,94,73.91,89.53,2.74,8792.0,3207.05
Houston,SH0006 K,365.96,765,79.86,85.77,3.31,28258.23,3914.59
Houston,SH0006 L,271.13,543,81.34,87.69,3.32,21996.42,2334.27
Houston,SH0006 R,271.24,547,88.58,93.75,3.45,21998.78,2328.63
Houston,SH0006 X,40.47,79,67.54,92.35,2.53,7748.93,3392.29
Houston,SH0035 A,2.39,22,40.43,58.49,1.17,3896.94,526.1
Houston,SH0035 K,121.71,265,62.73,85.44,2.79,21806.01,4357.63
Houston,SH0035 L,48.95,130,76.23,93.37,2.98,12179.76,991.76
Houston,SH0035 R,57.15,140,81.59,93.9,3.3,12311.75,1179.94
Houston,SH0036 K,103.65,215,66.33,75.25,3.25,12890.39,2339.64
Houston,SH0036 L,26.82,56,87.78,93.36,3.25,3515.77,1057.85
Houston,SH0036 R,15.98,34,77.09,86.23,2.94,3459.25,847.45
Houston,SH0075 K,5.23,19,64.42,98.89,2.51,10765.21,49.42
Houston,SH0096 L,49.16,109,95.0,97.31,3.49,9827.38,809.62
Houston,SH0096 R,49.16,109,91.6,93.71,3.49,9826.84,809.71
Houston,SH0099 A,93.48,209,86.69,91.93,3.29,9567.81,274.99
Houston,SH0099 K,3.4,10,89.39,94.12,3.21,13196.64,367.03
Houston,SH0099 L,817.03,1608,90.64,96.0,3.64,17450.48,623.27
Houston,SH0099 R,801.8,1583,93.8,96.08,3.81,17498.9,631.94
Houston,SH0099 X,77.79,185,83.4,88.81,3.28,7902.17,388.65
Houston,SH0105 K,358.92,738,94.47,97.9,3.66,27875.16,1382.13
Houston,SH0124 K,2.77,7,30.87,43.32,2.4,3361.02,235.74
Houston,SH0146 A,90.94,195,66.96,84.84,2.82,2944.86,2866.89
Houston,SH0146 K,59.56,132,75.38,88.76,3.09,36557.07,2878.4
Houston,SH0146 L,282.0,610,77.26,85.73,3.19,23387.38,1899.32
Houston,SH0146 R,267.85,575,81.58,88.37,3.22,24526.55,2078.05
Houston,SH0146 X,82.25,170,73.23,86.86,2.85,2893.21,3053.67
Houston,SH0159 K,0.59,3,0.0,66.21,0.87,4238.17,644.87
Houston,SH0225 A,173.47,367,72.51,78.93,3.22,4735.75,4478.76
Houston,SH0225 L,324.33,699,65.69,78.29,3.08,37688.22,3947.75
Houston,SH0225 R,324.28,697,69.22,80.7,3.09,38394.55,3985.13
Houston,SH0225 X,181.19,376,59.11,68.84,3.08,5313.59,4739.49
Houston,SH0242 A,4.4,9,75.5,77.4,3.12,3307.66,993.62
Houston,SH0242 K,61.72,124,91.1,93.94,3.64,27411.35,429.4
Houston,SH0242 L,179.46,400,93.46,96.59,3.5,11932.76,513.22
Houston,SH0242 R,179.06,399,96.31,98.1,3.6,11966.67,515.16
Houston,SH0242 X,3.78,9,53.81,72.02,2.7,5050.53,828.67
Houston,SH0249 A,179.11,369,88.43,94.38,3.32,15701.91,516.48
Houston,SH0249 K,192.64,439,93.42,97.54,3.56,40560.95,882.68
Houston,SH0249 L,332.94,712,95.76,98.42,3.64,25062.53,678.74
Houston,SH0249 R,333.84,713,96.21,98.56,3.74,25019.08,681.58
Houston,SH0249 X,182.75,379,87.69,96.85,3.1,16837.13,499.23
Houston,SH0275 K,5.02,11,62.45,80.06,2.81,14266.59,5314.78
Houston,SH0275 L,5.33,15,98.05,100.0,2.73,1987.82,5833.8
Houston,SH0275 R,5.3,15,98.27,99.1,2.83,1988.16,5779.58
Houston,SH0288 A,247.04,549,75.23,87.29,2.99,7800.72,1316.94
Houston,SH0288 K,30.05,60,32.03,52.99,2.51,24382.45,5912.5
Houston,SH0288 L,1157.03,2470,78.81,82.89,3.42,23933.42,1270.44
Houston,SH0288 R,1146.51,2453,77.46,81.16,3.41,23958.7,1254.56
Houston,SH0288 X,236.55,533,76.08,86.68,3.01,6514.27,1283.87
Houston,SH0332 K,85.49,176,84.75,87.81,3.8,14536.29,1769.56
Houston,SH0332 L,40.74,90,65.56,86.7,2.94,9206.48,2334.09
Houston,SH0332 R,40.84,87,59.99,84.77,2.73,9153.59,2230.83
Houston,SHNASA A,5.89,14,47.52,95.36,2.19,8085.15,541.44
Houston,SHNASA K,82.14,170,67.2,90.49,2.75,22337.21,486.79
Houston,SHNASA L,55.84,127,95.31,99.19,3.44,18854.59,442.4
Houston,SHNASA R,55.87,127,92.65,98.37,3.29,18852.93,442.95
Houston,SHNASA X,5.98,14,61.28,95.65,2.43,9477.06,553.77
Houston,SL0008 A,989.93,2104,83.19,93.92,3.11,18757.81,1910.43
Houston,SL0008 L,61.4,121,93.24,94.22,3.76,54463.21,1900.74
Houston,SL0008 R,61.31,119,90.21,91.62,3.82,54038.68,1837.88
Houston,SL0008 X,1016.69,2173,84.97,93.7,3.2,18576.33,1837.59
Houston,SL0197 K,40.62,84,72.25,99.5,2.74,12088.87,8090.87
Houston,SL0274 K,1.45,7,72.32,84.44,2.98,12000.6,6.5
Houston,SL0336 K,345.57,730,94.48,96.92,3.49,14569.4,437.4
Houston,SL0336 L,45.76,134,89.21,98.0,3.09,9739.2,180.75
Houston,SL0336 R,44.99,132,78.95,94.87,2.88,9798.06,181.32
Houston,SL0494 K,5.18,19,66.27,99.65,2.51,9417.51,9.88
Houston,SL0494 L,3.51,10,76.37,98.06,2.81,5144.46,775.63
Houston,SL0494 R,3.27,9,58.77,89.49,2.58,5138.96,832.01
Houston,SL0540 K,5.4,17,93.34,100.0,3.69,1813.88,171.86
Houston,SL0541 K,0.79,2,100.0,100.0,3.77,475.5,0.0
Houston,SS0005 A,14.59,26,68.97,81.85,2.74,4108.77,548.48
Houston,SS0005 L,57.79,121,65.93,96.51,2.61,15729.87,201.85
Houston,SS0005 R,60.9,127,57.91,94.77,2.46,15731.25,244.68
Houston,SS0005 X,14.76,32,88.08,98.63,2.81,4679.36,320.17
Houston,SS0010 K,32.91,70,93.9,98.11,3.47,3042.33,54.12
Houston,SS0010 L,17.32,34,92.27,92.37,3.63,1768.28,0.0
Houston,SS0010 R,17.28,33,95.78,95.78,3.38,1767.92,0.0
Houston,SS0261 L,116.61,304,82.08,94.38,2.97,14421.16,19.35
Houston,SS0261 R,112.15,278,73.34,85.71,2.95,14426.29,20.3
Houston,SS0330 A,68.95,144,92.04,95.93,3.3,5703.5,936.67
Houston,SS0330 L,87.56,175,98.04,99.53,3.62,17745.93,948.28
Houston,SS0330 R,91.79,192,94.87,97.57,3.58,17812.88,969.53
Houston,SS0330 X,73.12,151,86.55,94.49,3.14,5411.49,966.88
Houston,SS0527 A,6.09,21,39.74,88.54,1.93,9281.34,443.35
Houston,SS0527 L,22.02,65,61.0,94.53,2.18,30360.2,638.39
Houston,SS0527 R,22.64,67,48.02,90.17,1.95,30497.47,605.04
Houston,SS0527 X,7.71,24,36.46,82.66,1.71,3472.24,609.28
Houston,SS0529 K,3.51,29,55.58,100.0,2.35,6623.1,3.48
Houston,SS0548 L,32.06,71,64.82,95.12,2.61,29643.63,29.13
Houston,SS0548 R,31.68,66,63.84,93.72,2.63,29382.95,27.46
Houston,UA0090 A,48.55,130,76.27,93.0,2.59,4097.13,1127.84
Houston,UA0090 K,10.31,24,55.86,96.79,2.37,11111.28,805.93
Houston,UA0090 L,370.43,778,82.65,94.54,3.15,25280.63,463.34
Houston,UA0090 R,380.8,804,80.24,95.74,3.02,25054.39,473.87
Houston,UA0090 X,39.95,112,86.34,95.14,3.03,4360.95,1197.9
Houston,US0059 A,109.96,256,35.86,68.29,2.02,3436.19,3188.34
Houston,US0059 L,323.83,684,81.06,88.95,3.29,74803.7,1854.43
Houston,US0059 R,354.21,747,80.81,89.35,3.22,69904.17,1837.87
Houston,US0059 X,111.14,254,51.43,71.61,2.3,3456.91,2860.08
Houston,US0090 A,72.63,169,90.49,94.29,3.32,5084.0,882.22
Houston,US0090 K,2.0,5,61.94,94.94,2.36,8959.31,604.56
Houston,US0090 L,282.29,625,89.83,91.98,3.63,14352.56,833.87
Houston,US0090 R,468.08,1019,77.91,83.85,3.37,11795.37,847.82
Houston,US0090 X,51.64,110,85.87,94.85,3.11,3938.76,1037.13
Houston,US0290 A,310.99,675,81.04,93.13,3.03,13197.16,940.69
Houston,US0290 L,928.49,1923,90.96,94.36,3.77,45043.22,1268.86
Houston,US0290 R,935.56,1936,89.35,93.08,3.76,45157.94,1299.42
Houston,US0290 X,389.97,821,78.85,91.33,3.08,14606.05,882.35
Laredo,BI0035CK,0.22,1,34.0,100.0,2.0,5470.0,0.0
Laredo,BU0277NK,0.2,3,14.33,83.33,1.2,10876.0,14448.33
Laredo,FM0624 K,0.06,1,57.0,89.0,2.1,1469.0,0.0
Laredo,FM1472 A,3.02,9,75.91,89.06,2.28,1083.43,261.34
Laredo,FM1472 L,22.56,51,73.54,91.64,3.19,19451.67,462.57
Laredo,FM1472 R,24.62,53,63.55,94.57,2.93,18353.79,534.93
Laredo,FM1472 X,3.06,9,78.15,97.32,2.25,1093.5,269.65
Laredo,IH0035 A,12.37,25,75.89,89.73,2.8,2496.23,828.86
Laredo,IH0035 L,29.6,59,93.99,94.41,3.89,16653.54,947.44
Laredo,IH0035 R,50.16,100,84.7,84.86,3.7,13247.2,1791.97
Laredo,IH0035 X,20.78,43,93.51,98.22,3.15,2772.03,860.29
Laredo,IH0069WA,17.19,37,99.66,99.77,4.14,7568.06,0.0
Laredo,IH0069WL,16.52,29,96.35,98.89,4.16,12387.01,0.0
Laredo,IH0069WR,16.55,30,96.48,96.48,4.24,12392.53,0.0
Laredo,IH0069WX,18.3,37,99.15,99.15,4.06,6337.87,0.0
Laredo,SH0044 K,0.12,4,26.0,78.75,1.48,1600.75,0.0
Laredo,SL0020 L,5.0,10,87.1,100.0,2.91,12745.0,40.4
Laredo,SL0020 R,4.5,9,82.78,100.0,2.76,12251.67,0.0
Laredo,SS0259 L,0.32,1,27.0,99.0,1.84,18187.0,0.0
Laredo,SS0297 L,0.35,4,24.46,89.16,1.45,6903.82,82.1
Laredo,SS0297 R,1.26,11,13.94,80.19,1.11,6918.13,1409.71
Laredo,UP0277 K,0.97,4,89.75,100.0,3.78,7529.0,30.0
Laredo,US0059 A,1.58,7,54.84,94.7,2.48,6250.15,1.51
Laredo,US0059 L,10.18,17,95.31,95.31,3.92,18660.72,0.12
Laredo,US0059 R,10.28,18,87.45,95.85,3.59,18710.97,0.12
Laredo,US0059 X,0.47,2,99.0,99.0,3.5,5867.0,5.0
Laredo,US0083 L,1.02,2,64.59,93.62,2.74,20974.0,55.49
Laredo,US0083 R,3.71,7,29.45,89.42,1.84,19982.65,171.43
Laredo,US0090 K,3.5,7,84.14,84.57,3.41,1472.71,2367.29
Laredo,US0277 K,0.35,2,45.5,100.0,2.25,21656.5,0.0
Laredo,US0277 L,3.83,8,43.5,94.52,2.22,11591.49,733.42
Laredo,US0277 R,3.82,8,60.53,100.0,2.54,11591.44,732.05
Lubbock,BI0027UK,6.24,8,82.75,82.75,2.95,2192.75,460.25
Lubbock,BI0027UL,29.58,64,70.09,79.74,3.09,1552.2,90.43
Lubbock,BI0027UR,29.28,62,72.47,82.1,3.15,1436.57,86.98
Lubbock,BS0214AK,0.06,4,6.5,100.0,0.35,2721.0,878.0
Lubbock,FM0179 K,0.8,4,67.25,100.0,2.33,2901.75,1244.75
Lubbock,FM0835 K,0.76,5,28.4,63.0,2.35,3213.8,619.2
Lubbock,FM2008 K,2.5,5,76.0,88.8,1.95,19.0,19.0
Lubbock,FM2055 K,0.15,5,83.0,100.0,2.66,2227.6,168.6
Lubbock,FM2255 K,13.32,26,79.82,99.59,3.04,23399.6,5755.28
Lubbock,FM2641 K,0.07,1,38.0,100.0,2.1,5015.0,11.0
Lubbock,IH0027 A,51.71,136,83.89,96.25,2.92,3835.68,605.75
Lubbock,IH0027 L,2579.99,5366,86.95,87.58,3.76,6636.14,592.86
Lubbock,IH0027 R,2579.85,5366,87.29,87.81,3.82,6636.07,593.1
Lubbock,IH0027 X,82.52,193,75.38,90.04,2.9,6314.84,753.95
Lubbock,SH0086 K,1.54,4,94.81,98.05,2.81,1235.6,11227.69
Lubbock,SH0114 K,8.0,21,93.61,99.92,3.59,29713.73,542.34
Lubbock,SH0114 L,5.78,31,86.8,94.52,3.16,14028.43,164.86
Lubbock,SH0114 R,5.56,29,88.85,93.88,3.37,13941.96,163.81
Lubbock,SL0289 A,55.56,139,86.16,95.0,3.22,5912.42,993.42
Lubbock,SL0289 L,110.66,244,93.94,94.26,3.58,19952.84,710.04
Lubbock,SL0289 R,104.91,228,96.65,97.05,3.86,19740.81,748.46
Lubbock,SL0289 X,37.11,94,90.98,98.75,3.34,6886.72,590.41
Lubbock,SL0430 K,1.11,15,66.75,100.0,2.17,675.78,44.05
Lubbock,SS0326 A,0.2,1,100.0,100.0,2.3,230.0,0.0
Lubbock,SS0326 L,6.57,36,67.45,90.1,2.66,3188.15,203.76
Lubbock,SS0326 R,6.11,36,74.66,93.77,2.75,3190.63,197.2
Lubbock,SS0327 A,0.06,1,90.0,100.0,3.0,9748.0,4.0
Lubbock,SS0327 L,21.41,47,98.22,99.81,3.65,7781.4,49.59
Lubbock,SS0327 R,17.24,39,86.07,97.07,3.35,8387.24,50.2
Lubbock,SS0327 X,2.6,9,67.2,100.0,2.27,9698.67,90.16
Lubbock,SS0331 K,0.05,6,43.67,100.0,1.92,1970.0,3.83
Lubbock,SS0575 K,0.05,3,13.0,97.67,0.6,2589.0,781.0
Lubbock,US0060 K,4.11,9,72.71,96.61,2.76,9762.54,4856.52
Lubbock,US0062 A,54.74,120,76.7,98.6,2.95,6048.56,128.89
Lubbock,US0062 K,4.66,14,65.9,92.99,2.72,10576.36,244.65
Lubbock,US0062 L,53.68,123,96.67,99.52,3.75,17945.85,107.74
Lubbock,US0062 R,51.1,118,96.81,98.11,3.97,18228.71,115.42
Lubbock,US0062 X,50.72,112,81.87,98.47,3.14,5788.74,125.77
Lubbock,US0070 L,0.04,1,90.0,100.0,2.5,1282.0,0.0
Lubbock,US0070 R,0.02,1,80.0,80.0,2.9,1282.0,0.0
Lubbock,US0082 A,34.74,68,80.51,96.81,3.13,6561.57,1462.12
Lubbock,US0082 L,65.72,138,84.32,98.51,3.47,13961.54,1156.59
Lubbock,US0082 R,64.09,137,86.31,97.11,3.56,14059.8,1109.58
Lubbock,US0082 X,28.31,66,80.32,93.71,3.3,7172.42,1120.66
Lubbock,US0084 K,28.95,73,79.01,79.66,3.95,12832.4,1915.78
Lubbock,US0084 L,1.01,2,100.0,100.0,4.06,5768.43,293.34
Lubbock,US0084 R,0.5,1,100.0,100.0,4.4,5693.0,131.0
Lubbock,US0087 A,0.11,1,71.0,100.0,2.7,6753.0,0.0
Lubbock,US0087 K,14.36,32,91.48,92.36,3.18,1746.47,1089.75
Lubbock,US0087 L,13.01,27,96.2,100.0,3.43,6137.74,816.27
Lubbock,US0087 R,13.15,32,99.99,100.0,3.44,6102.17,808.0
Lubbock,US0087 X,0.13,2,98.5,100.0,3.2,6040.0,0.0
Lufkin,BU0059GL,5.38,22,93.69,99.82,3.2,4520.59,465.29
Lufkin,BU0059GR,5.85,24,98.21,99.69,3.51,4811.37,428.92
Lufkin,BU0069JL,0.24,1,85.0,85.0,2.85,1430.0,11.0
Lufkin,BU0069JR,1.32,6,74.68,95.72,2.32,1291.05,2433.77
Lufkin,FM0356 K,2.48,5,100.0,100.0,3.39,2600.81,849.58
Lufkin,FM1877 K,0.16,5,92.8,100.0,2.5,389.8,294.4
Lufkin,FM2021 K,3.0,6,91.83,98.83,3.31,2729.0,4616.67
Lufkin,FM2110 K,0.02,1,62.0,88.0,2.2,971.0,56.0
Lufkin,FM2914 K,0.37,4,25.75,99.75,1.03,1486.5,290.75
Lufkin,FM3460 K,1.31,10,56.3,100.0,1.86,821.63,11002.66
Lufkin,FM3521 K,0.61,10,82.31,99.06,2.34,646.72,128.98
Lufkin,SH0007 K,5.6,12,96.97,96.97,4.3,3340.4,4583.82
Lufkin,SH0019 K,1.08,5,11.2,13.04,3.47,10481.69,10397.78
Lufkin,SH0021 K,13.41,25,76.75,76.75,3.8,3037.05,3465.4
Lufkin,SH0094 K,2.82,8,89.56,89.56,4.07,3241.33,3132.27
Lufkin,SH0103 L,0.09,1,48.0,100.0,2.3,8650.0,9.0
Lufkin,SH0103 R,0.09,1,0.0,100.0,0.0,8650.0,9.0
Lufkin,SH0147 K,3.54,7,54.69,54.69,3.35,1275.11,5782.68
Lufkin,SL0287 L,1.92,9,100.0,100.0,3.83,14528.55,3368.84
Lufkin,SL0287 R,1.0,2,100.0,100.0,4.34,10728.0,4992.0
Lufkin,SL0287 X,0.82,5,74.57,88.83,2.87,2280.33,3267.38
Lufkin,SL0304 K,1.0,2,96.0,99.5,3.13,5575.0,4366.5
Lufkin,SL0500 K,0.5,1,100.0,100.0,4.15,2936.0,0.0
Lufkin,US0059 A,52.38,111,92.6,93.88,3.46,2514.6,4582.24
Lufkin,US0059 K,12.03,26,88.5,88.52,4.12,32735.87,7712.79
Lufkin,US0059 L,110.53,228,97.19,98.65,3.82,14857.08,4714.52
Lufkin,US0059 R,105.23,217,95.32,98.19,3.82,14245.23,4319.02
Lufkin,US0059 X,50.26,106,94.57,95.71,3.61,1923.36,4212.57
Lufkin,US0069 A,1.18,9,94.26,100.0,2.63,2661.0,1030.45
Lufkin,US0069 L,5.74,18,94.49,94.49,4.09,6309.68,2774.03
Lufkin,US0069 R,6.86,22,97.56,97.56,4.13,5798.01,2732.95
Lufkin,US0084 R,0.21,2,66.5,88.5,2.69,1494.5,3.5
Lufkin,US0190 K,4.0,8,75.0,75.0,3.85,6552.5,7769.75
Odessa,BI0020EA,4.92,10,76.5,80.4,3.22,3115.0,2026.37
Odessa,BI0020EL,33.32,69,99.33,99.88,3.47,7905.42,731.51
Odessa,BI0020ER,33.81,70,97.53,98.08,3.61,7963.86,726.3
Odessa,IH0010 R,0.52,2,99.83,100.0,4.08,6860.88,133.24
Odessa,IH0020 L,1.0,2,91.5,100.0,3.03,23918.0,2850.0
Odessa,IH0020 R,1.0,2,90.48,95.99,3.1,23918.0,2841.51
Odessa,SH0158 A,3.38,12,46.3,67.92,2.74,14414.89,206.16
Odessa,SH0158 L,3.5,7,99.14,99.14,4.36,10137.86,209.43
Odessa,SL0250 A,0.07,7,31.71,100.0,1.46,6827.14,0.0
Odessa,SL0250 X,0.07,7,42.86,100.0,1.64,7381.43,0.0
Paris,FM0120 K,32.73,66,60.04,94.28,2.67,13500.12,383.19
Paris,FM0121 K,6.03,12,99.34,99.34,3.86,7654.0,8314.08
Paris,FM0121 L,10.19,19,96.68,98.12,3.12,3537.91,2090.99
Paris,FM0121 R,10.2,19,97.27,97.55,3.27,3538.56,2096.1
Paris,FM0151 K,3.5,7,75.57,81.57,2.76,1583.0,5497.29
Paris,FM0691 K,9.93,26,92.3,96.54,3.42,6176.91,2024.21
Paris,FM0691 L,3.54,12,99.5,99.5,3.49,3295.18,1615.65
Paris,FM0691 R,3.53,12,91.54,92.03,3.57,3295.45,1610.55
Paris,FM1417 K,4.01,8,85.68,100.0,3.11,12564.2,711.55
Paris,FM1903 K,3.4,8,91.03,96.26,3.59,2614.01,4136.52
Paris,FM2946 K,0.5,1,0.0,0.0,2.67,1885.0,464.0
Paris,FM3356 K,0.04,2,1.0,98.0,0.1,1378.0,1.5
Paris,IH0030 A,7.0,14,91.43,94.43,3.68,3852.36,3289.29
Paris,IH0030 L,328.35,660,58.94,59.4,3.76,14201.72,3854.82
Paris,IH0030 R,329.77,662,52.81,52.98,3.82,14232.02,3855.78
Paris,IH0030 X,8.46,17,96.93,96.93,3.65,2894.38,3544.86
Paris,SH0011 K,24.72,56,75.47,86.49,3.1,8729.31,4200.51
Paris,SH0019 K,1.2,10,80.85,98.6,2.97,7168.03,1078.93
Paris,SH0019 R,0.93,3,91.21,92.27,3.3,3582.61,1447.35
Paris,SH0034 K,4.0,8,71.38,87.5,3.12,17590.5,3569.38
Paris,SH0034 R,0.43,2,89.95,100.0,2.63,4822.66,122.27
Paris,SH0037 K,1.0,3,54.47,54.47,4.09,2157.84,1320.28
Paris,SH0050 K,0.02,1,47.0,100.0,1.8,1076.0,15.0
Paris,SH0091 L,7.48,15,83.38,86.9,3.43,6933.31,264.15
Paris,SH0091 R,4.97,8,83.8,83.8,3.99,7724.75,330.65
Paris,SH0276 K,4.83,10,61.79,62.0,3.35,4986.02,2430.38
Paris,SL0205 K,7.59,16,58.07,85.05,2.19,3052.68,2071.13
Paris,SS0302 K,1.28,11,78.8,93.5,3.38,4601.84,248.07
Paris,SS0302 L,0.6,1,96.0,100.0,2.61,1882.0,13.0
Paris,SS0302 R,0.04,1,20.0,83.0,1.3,2577.0,15.0
Paris,SS0503 R,0.5,1,59.0,86.0,2.66,6095.0,1003.0
Paris,US0069 K,15.92,32,69.63,92.64,2.84,7045.62,4254.35
Paris,US0069 L,50.55,112,57.2,66.38,3.11,15103.38,3442.84
Paris,US0069 R,50.25,111,43.79,57.62,2.81,14302.86,3462.15
Paris,US0069 X,3.29,8,100.0,100.0,3.5,1655.38,2455.25
Paris,US0075 A,8.49,17,69.76,90.76,2.67,5161.76,5220.01
Paris,US0075 L,317.52,627,92.94,94.28,3.75,18749.24,3716.76
Paris,US0075 R,327.45,650,81.05,83.51,3.52,18867.43,3734.29
Paris,US0075 X,8.5,17,79.06,89.59,2.6,2336.52,1962.28
Paris,US0082 A,16.8,36,56.16,72.63,2.68,3140.19,1815.47
Paris,US0082 K,1.0,2,100.0,100.0,4.55,7393.5,3117.0
Paris,US0082 L,112.69,249,74.41,88.62,3.02,9001.94,1896.28
Paris,US0082 R,104.39,234,71.65,89.61,2.9,9252.94,1924.22
Paris,US0082 X,15.71,36,75.78,81.11,2.81,2473.4,1816.55
Paris,US0271 K,0.07,1,0.0,0.0,3.8,4004.0,249.0
Paris,US0271 L,90.84,181,43.1,45.54,3.23,6099.67,797.78
Paris,US0380 K,0.01,1,95.0,100.0,3.1,12746.0,318.0
Paris,US0380 L,3.06,11,86.84,87.51,3.85,6763.14,2304.22
Paris,US0380 R,3.03,11,92.34,92.58,3.63,7813.61,2309.53
Pharr,BU0281WL,0.35,1,68.0,100.0,2.65,9050.0,0.0
Pharr,FM0313 K,0.1,2,4.0,100.0,0.9,9378.5,98.0
Pharr,FM0490 K,0.1,1,5.0,41.0,0.9,1474.0,6113.0
Pharr,FM0755 K,0.53,10,53.56,99.19,1.9,1220.72,250.08
Pharr,FM0800 K,0.53,1,94.0,94.0,3.07,1313.0,693.0
Pharr,FM1015 K,0.82,3,26.71,90.53,1.88,22349.23,1147.59
Pharr,FM1016 K,1.35,19,18.55,95.96,0.87,11298.63,43.53
